URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/adjudication,4.0.1,draft,"2.16.840.1.113883.4.642.3.596",AdjudicationValueCodes,Adjudication Value Codes,"This value set includes a smattering of Adjudication Value codes which includes codes to indicate the amounts eligible under the plan, the amount of benefit, copays etc.","StructureDefinition/mii-pr-mtb-antwort-kostenuebernahme","THO"
http://hl7.org/fhir/ValueSet/adjudication-error,4.0.1,draft,"2.16.840.1.113883.4.642.3.39",Adjudication Error Codes,AdjudicationError,"This value set includes a smattering of adjudication codes.","StructureDefinition/mii-pr-mtb-antwort-kostenuebernahme","THO"
http://hl7.org/fhir/ValueSet/adjudication-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.598",AdjudicationReasonCodes,Adjudication Reason Codes,"This value set includes smattering of Adjudication Reason codes.","StructureDefinition/mii-pr-mtb-antwort-kostenuebernahme","THO"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/mii-pr-mtb-therapieempfehlung,StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement","SCT"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/mii-pr-mtb-therapieempfehlung,StructureDefinition/mii-pr-mtb-systemtherapie-medication-statement","SCT"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/mii-pr-mtb-hrd-score,StructureDefinition/mii-pr-mtb-consent-given,StructureDefinition/mii-pr-mtb-systemische-vortherapie,StructureDefinition/mii-pr-mtb-immunohistochemistry-phosphorylation,StructureDefinition/mii-pr-mtb-humangenetische-beratung-auftrag,StructureDefinition/mii-pr-mtb-mutationslast,StructureDefinition/mii-pr-mtb-tumorausbreitung,StructureDefinition/mii-pr-mtb-tumorzellgehalt,StructureDefinition/mii-pr-mtb-insituhybridization-her2,StructureDefinition/mii-pr-mtb-msi,StructureDefinition/mii-pr-mtb-genomic-study-analysis,StructureDefinition/mii-pr-mtb-studieneinschluss-anfrage,StructureDefinition/mii-pr-mtb-immunohistochemistry-mmr,StructureDefinition/mii-pr-mtb-who-grad-tumor-zns,StructureDefinition/mii-pr-mtb-insituhybridization,StructureDefinition/mii-pr-mtb-copy-number-variant,StructureDefinition/mii-pr-mtb-therapeutische-implikation,StructureDefinition/mii-pr-mtb-einfache-variante,StructureDefinition/mii-pr-mtb-molekularer-biomarker,StructureDefinition/mii-pr-mtb-response-befund,StructureDefinition/mii-pr-mtb-biopsie-auftrag,StructureDefinition/mii-pr-mtb-mikrosatelliteninstabilitaet,StructureDefinition/mii-pr-mtb-ploidie,StructureDefinition/mii-pr-mtb-rna-fusion,StructureDefinition/mii-pr-mtb-brcaness,StructureDefinition/mii-pr-mtb-diagnostische-implikation,StructureDefinition/mii-pr-mtb-rna-seq,StructureDefinition/mii-pr-mtb-dna-fusion,StructureDefinition/mii-pr-mtb-immunohistochemistry-pdl1,StructureDefinition/mii-pr-mtb-diagnose-primaertumor,StructureDefinition/mii-pr-mtb-oncotree,StructureDefinition/mii-pr-mtb-immunohistochemistry,StructureDefinition/mii-pr-mtb-immunohistochemistry-her2,StructureDefinition/mii-pr-mtb-systemische-therapie,StructureDefinition/mii-pr-mtb-histologie-evaluation-auftrag,StructureDefinition/mii-pr-mtb-genomic-study,StructureDefinition/mii-pr-mtb-biomarker-her2-status","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.145",CarePlanActivityKind,Care Plan Activity Kind,"Resource types defined as part of FHIR that can be represented as in-line definitions of a care plan activity.","StructureDefinition/mii-pr-mtb-therapieplan","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-activity-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.149",CarePlanActivityOutcome,Care Plan Activity Outcome,"Example codes indicating the outcome of a care plan activity. Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/mii-pr-mtb-therapieplan","SCT"
http://hl7.org/fhir/ValueSet/care-plan-activity-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.146",CarePlanActivityStatus,CarePlanActivityStatus,"Codes that reflect the current state of a care plan activity within its overall life cycle.","StructureDefinition/mii-pr-mtb-therapieplan","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/care-plan-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.148",CarePlanCategory,Care Plan Category,"Example codes indicating the category a care plan falls within.  Note that these are in no way complete and might not even be appropriate for some uses.","StructureDefinition/mii-pr-mtb-therapieplan","SCT"
